Flight No.,Date andtime (UTC),"Version,booster[f]",Launchsite,Payload[g],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding
Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.,,,,,,,,,
199,26 January 202309:32[40],F9 B5B1067.9,"Cape Canaveral, SLC‑40",Starlink: Group 5-2 (56 satellites),"~17,400 kg (38,400 lb)",LEO,SpaceX,Success,Success (JRTI)
Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This was the heaviest payload to date flown on Falcon 9.[41],,,,,,,,,
200,31 January 202316:15[42],F9 B5B1071.7,"Vandenberg, SLC‑4E",Starlink: Group 2-6 (49 satellites),"~15,200 kg (33,500 lb)",LEO,SpaceX,Success,Success (OCISLY)
ION SCV009,D-Orbit,,,,,,,,
"Launch of 49 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation. Also carried D-Orbit's ION SCV009 ""Eclectic Elena.""[43][44][45]",,,,,,,,,
201,2 February 202307:58[42],F9 B5B1069.5,"Kennedy, LC‑39A",Starlink: Group 5-3 (53 satellites),"16,500 kg (36,400 lb)",LEO,SpaceX,Success,Success (ASOG)
Launch of 53 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,,,,,
202,7 February 202301:32[46],F9 B5B1073.6,"Cape Canaveral, SLC‑40",Amazonas Nexus,"4,146 kg (9,140 lb)",GTO,Hispasat,Success,Success (JRTI)
A high-throughput telecommunications satellite.[47][48] Hosted payloads included USSF Pathfinder 2[49] and Tele Greenland A/S's GreenSat.[50][51],,,,,,,,,
203,12 February 202305:10[52],F9 B5B1062.12,"Cape Canaveral, SLC‑40",Starlink: Group 5-4 (55 satellites),"17,100 kg (37,700 lb)",LEO,SpaceX,Success,Success (ASOG)
"Launch of 55 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.[53][54] This launch marked a new pad turnaround record for SpaceX, launching 5 days, 3 hours and 38 minutes after the previous mission from SLC-40.[55]",,,,,,,,,
204,17 February 202319:12[52],F9 B5B1063.9,"Vandenberg, SLC‑4E",Starlink: Group 2-5 (51 satellites),"15,900 kg (35,100 lb)",LEO,SpaceX,Success,Success (OCISLY)
Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.[56],,,,,,,,,
205,18 February 202303:59[57],F9 B5B1077.3,"Cape Canaveral, SLC‑40",Inmarsat-6 F2,"5,470 kg (12,060 lb)",GTO,Inmarsat,Success,Success (JRTI)
"Inmarsat maintained its launch option after a scheduled 2016 Falcon Heavy launch (a European Aviation Network satellite) was switched for an Ariane 5 launch in 2017.[58] This option could be used for launching Inmarsat-6B.[59] In February 2022, Inmarsat confirmed Inmarsat-6 F2 will launch on a Falcon 9 rocket.[60][61] The satellite reached the supersynchronous geostationary transfer orbit of 387 km × 41,592 km (240 mi × 25,844 mi) inclined at 27°.[62]",,,,,,,,,
206,27 February 202323:13[63],F9 B5B1076.3,"Cape Canaveral, SLC‑40",Starlink: Group 6-1 (21 satellites),"~15,300 kg (33,700 lb)",LEO,SpaceX,Success,Success (ASOG)
"Launch of 21 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.[64][65][66] This mission marked the debut of the v2 mini satellites, a smaller version of the planned v2 satellites, which are to launch on the future Starship. The v2 mini is 2.4 times the mass of its v1.5 predecessor but provides four times the data capacity.[67] Unlike the v1.5, the tension rods that hold the v2 mini satellites together during launch, remain attached to the Falcon 9 second stage after deployment, reducing orbital debris.[68] This flight marked the 100th consecutive landing success of a Falcon 9 booster since 16 February 2021.",,,,,,,,,
207,2 March 202305:34[69],F9 B5B1078.1,"Kennedy, LC‑39A",Crew-6 (Crew Dragon C206.4 Endeavour),"~13,000 kg (29,000 lb)",LEO (ISS),NASA (CTS),Success,Success (JRTI)
"Last USCV launch out of original NASA award of six Crew Dragon missions, to carry up to four astronauts and 100 kg (220 lb) of cargo to the ISS, as well as feature a lifeboat function to evacuate astronauts from ISS in case of an emergency.[70][71]",,,,,,,,,
208,3 March 202318:38[63],F9 B5B1061.12,"Vandenberg, SLC‑4E",Starlink: Group 2-7 (51 satellites),"15,900 kg (35,100 lb)",LEO,SpaceX,Success,Success (OCISLY)
Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.[72],,,,,,,,,
209,9 March 202319:13[73],F9 B5B1062.13,"Cape Canaveral, SLC‑40",OneWeb 17 (40 satellites),"6,000 kg (13,000 lb)",LEO,OneWeb,Success,Success (LZ‑1)
"Following the Russian invasion of Ukraine, OneWeb suspended launches on Soyuz rockets.[24] In March 2022, OneWeb announced they had signed an agreement with SpaceX to resume satellite launches.[25][27]",,,,,,,,,
210,15 March 202300:30[74],F9 B5B1073.7,"Kennedy, LC‑39A",SpaceX CRS-27 (Dragon C209.3),"2,852 kg (6,288 lb)",LEO (ISS),NASA (CRS),Success,Success (ASOG)
Three more CRS Phase 2 missions for Dragon 2 covering up to CRS-29 were announced in December 2020.[75] This flight used a partial boostback burn to bring the first-stage booster to its drone ship closer to the coast. The maneuver was meant to cut down processing time by decreasing the time spent moving the ship back for refurbishment.[76][77][78],,,,,,,,,
211,17 March 202319:26[79],F9 B5B1071.8,"Vandenberg, SLC‑4E",Starlink: Group 2-8 (52 satellites),"~16,200 kg (35,700 lb)",LEO,SpaceX,Success,Success (OCISLY)
Launch of 52 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.,,,,,,,,,
212,17 March 202323:38[79],F9 B5B1069.6,"Cape Canaveral, SLC‑40",SES-18 & SES-19,"~7,000 kg (15,000 lb)",GTO,SES,Success,Success (JRTI)
"SpaceX launched two C-band satellites for SES, with the option to launch a third satellite on a second flight.[80][81] SpaceX set a new record for the shortest time between two Falcon 9 launches at 4 hours and 12 minutes. The previous record time was 7 hours and 10 minutes, set between the Crew-5 and Starlink Group 4-29 missions on 5 October 2022.",,,,,,,,,
213,24 March 202315:43[82],F9 B5B1067.10,"Cape Canaveral, SLC‑40",Starlink: Group 5-5 (56 satellites),"~17,400 kg (38,400 lb)",LEO,SpaceX,Success,Success (ASOG)
Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.[83],,,,,,,,,
214,29 March 202320:01[84],F9 B5B1077.4,"Cape Canaveral, SLC‑40",Starlink: Group 5-10 (56 satellites),"~17,400 kg (38,400 lb)",LEO,SpaceX,Success,Success (JRTI)
Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch marked the first time SpaceX completed eight launches in a calendar month.,,,,,,,,,
215,2 April 202314:29[85],F9 B5B1075.2,"Vandenberg, SLC‑4E",SDA Tranche 0A (10 satellites),Unknown,LEO,SDA,Success,Success (LZ‑4)
"First launch of SDA Transport and Tracking Layer satellites. Out of 10 satellites, 8 are York Space Systems built Transport layer satellites and 2 are SpaceX-Leidos built, Starlink-derived Tracking Layer satellites.[86] The Transport layer is an interoperable mesh network of satellites intended to provide periodic low-latency and high-capacity data connectivity, while the Tracking Layer consists of interconnected satellites with cross-links and wide field of view infrared sensors for hypersonic missile tracking.",,,,,,,,,
216,7 April 2023 04:30[87],F9 B5B1076.4,"Cape Canaveral, SLC‑40",Intelsat 40e,"~5,588 kg (12,319 lb)",GTO,Intelsat,Success,Success (ASOG)
Maxar Technologies-built satellite to service North and Central America.[88][89] Also hosts the Tropospheric Emissions: Monitoring of Pollution (TEMPO) experiment.,,,,,,,,,
217,15 April 202306:47[90],F9 B5B1063.10,"Vandenberg, SLC‑4E",Transporter-7 (51 payload smallsat rideshare),Unknown,SSO,Various,Success,Success (LZ‑4)
"Dedicated SmallSat Rideshare mission to sun-synchronous orbit. First flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.[91][92] Fifth mission featuring a second stage with a long coast mission-extension kit, accommodating the four second stage burns for payload deployment, excluding the deorbit burn.",,,,,,,,,
218,19 April 202314:31[93],F9 B5B1073.8,"Cape Canaveral, SLC‑40",Starlink: Group 6-2 (21 satellites),"~15,300 kg (33,700 lb)",LEO,SpaceX,Success,Success (ASOG)
Launch of 21 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,,,,,
219,27 April 202313:40[94],F9 B5B1061.13,"Vandenberg, SLC‑4E",Starlink: Group 3-5 (46 satellites),"~14,100 kg (31,100 lb)",SSO,SpaceX,Success,Success (OCISLY)
Launch of 46 Starlink v1.5 satellites to a 560 km (350 mi) sun-synchronous orbit at an inclination of 97.6° to expand internet constellation.,,,,,,,,,
220,28 April 202322:12[95],F9 B5B1078.2,"Cape Canaveral, SLC‑40",O3b mPOWER 3 & 4,"~4,100 kg (9,000 lb)",MEO,SES,Success,Success (JRTI)
"Second part of SES' MEO satellites for its O3b low-latency, high-performance connectivity services.[96][97][98]",,,,,,,,,
FH 6,1 May 202300:26[99],Falcon Heavy B5B1068 (core),"Kennedy, LC‑39A",ViaSat-3 Americas[100][101],"6,400 kg (14,100 lb)",GEO,ViaSat,Success,No attempt
B1052.8 (side),Aurora 4A (Arcturus)[102][103],300 kg (660 lb),Astranis / Pacific Dataport,No attempt,,,,,
B1053.3 (side),GS-1,22 kg (49 lb),Gravity Space,No attempt,,,,,
"This mission directly delivered the satellites to geostationary orbit, thus the core and side boosters were all expendable alongside having the sixth second stage featuring Falcon long coast mission-extension kit.[104] Satellites of the ViaSat-3 class use electric propulsion, which requires less fuel for stationkeeping operations over their lifetime,[101] making them the heaviest all-electric satellites ever launched into space. First mission to expend all three cores. GS-1 is a cubesat operated by Gravity Space on behalf of PT Pasifik Satelit Nusantara who calls the satellite Nusantara-H1-A.",,,,,,,,,
221,4 May 202307:31[105],F9 B5B1069.7,"Cape Canaveral, SLC‑40",Starlink: Group 5-6 (56 satellites),"~17,400 kg (38,400 lb)",LEO,SpaceX,Success,Success (ASOG)
Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.[105][106],,,,,,,,,
222,10 May 202320:09[107],F9 B5B1075.3[108],"Vandenberg, SLC‑4E",Starlink: Group 2-9 (51 satellites),"15,900 kg (35,100 lb)",LEO,SpaceX,Success,Success (OCISLY)
Launch of 51 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation.,,,,,,,,,
223,14 May 202305:03[109],F9 B5B1067.11,"Cape Canaveral, SLC‑40",Starlink: Group 5-9 (56 satellites),"~17,400 kg (38,400 lb)",LEO,SpaceX,Success,Success (JRTI)
Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,,,,,
224,19 May 202306:19[110],F9 B5B1076.5,"Cape Canaveral, SLC‑40",Starlink: Group 6-3 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (ASOG)
Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,,,,,
225,20 May 202313:16[110],F9 B5B1063.11,"Vandenberg, SLC‑4E",Iridium-NEXT[111] (5 satellites)OneWeb (15 Gen1 plus a Gen2 test satellite)[112],"~6,600 kg (14,600 lb)",Polar LEO,Iridium & OneWeb,Success,Success (OCISLY)
"Iridium-9 rideshare mission, carrying five on-orbit spare Iridium-NEXT satellites along with 15 Gen1 and a demo Gen2 OneWeb satellites.[105] Second flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.",,,,,,,,,
226,21 May 202321:37[113],F9 B5B1080.1,"Kennedy, LC‑39A",Ax-2 (Crew Dragon C212.2 Freedom),"~13,000 kg (29,000 lb)",LEO (ISS),Axiom Space,Success,Success (LZ‑1)
Axiom contracted for three additional private crewed missions in June 2021.[114] Peggy Whitson and John Shoffner were signed on as commander and pilot for Ax-2.[115][116] The third and fourth seats were bought by Saudi Arabia.[117] The Saudi crew members were revealed to be Ali AlQarni and Rayyanah Barnawi.[118] First time a booster landed on a ground pad after a crewed launch.,,,,,,,,,
227,27 May 202304:30[119],F9 B5B1062.14,"Cape Canaveral, SLC‑40",ArabSat 7B (Badr-8)[120],"~4,500 kg (9,900 lb)",GTO,Arabsat,Success,Success (JRTI)
Includes Airbus's TELEO optical communications payload demonstrator.[121],,,,,,,,,
228,31 May 202306:02[122],F9 B5B1061.14,"Vandenberg, SLC‑4E",Starlink: Group 2-10 (52 satellites),"~16,400 kg (36,200 lb)",LEO,SpaceX,Success,Success (OCISLY)
Launch of 52 Starlink v1.5 satellites to a 570 km (350 mi) orbit at an inclination of 70° to expand internet constellation. The 200th consecutive successful Falcon 9 mission. This launch marked the first time SpaceX completed nine launches in a calendar month.,,,,,,,,,
229,4 June 202312:20[122],F9 B5B1078.3,"Cape Canaveral, SLC‑40",Starlink: Group 6-4 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (JRTI)
Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,,,,,
230,5 June 202315:47[123],F9 B5B1077.5,"Kennedy, LC‑39A",SpaceX CRS-28 (Dragon C208.4),"~3,304 kg (7,284 lb)",LEO (ISS),NASA (CRS),Success,Success (ASOG)
"Three more CRS Phase 2 missions for Dragon 2 covering up to CRS-29 were announced in December 2020.[75] Third flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.",,,,,,,,,
231,12 June 202307:10[124],F9 B5B1073.9,"Cape Canaveral, SLC‑40",Starlink: Group 5-11 (52 satellites),"~16,400 kg (36,200 lb)",LEO,SpaceX,Success,Success (JRTI)
Launch of 52 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,,,,,
232,12 June 202321:35[125],F9 B5B1071.9,"Vandenberg, SLC‑4E",Transporter-8 (72 payload smallsat rideshare),Unknown[h],SSO,Various,Success,Success (LZ‑4)
"Dedicated SmallSat Rideshare mission to Sun-synchronous orbit. Launcher's Orbiter SN3 vehicle[19] and the first Satellite Vu Mid-wave Infrared imaging satellite are expected to fly on this mission. This mission marked the 200th overall successful booster landing. Fourth flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements.",,,,,,,,,
233,18 June 202322:21[126],F9 B5B1067.12[127],"Cape Canaveral, SLC‑40",SATRIA[128],"~4,580 kg (10,100 lb)",GTO,PT Pasifik Satelit Nusantara,Success,Success (ASOG)
"PSN selected Falcon 9 in September 2020, to launch its satellite instead of a Chinese rocket or Ariane 5.",,,,,,,,,
234,22 June 202307:19[126],F9 B5B1075.4[129],"Vandenberg, SLC‑4E",Starlink: Group 5-7 (47 satellites),"~14,500 kg (32,000 lb)",LEO,SpaceX,Success,Success (OCISLY)
"Launch of 47 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch from Vandenberg achieved a record-breaking low orbital inclination of 43° for a rocket launched from the West Coast of the United States. Previous Starlink Group 9 launches to 43° had been conducted from the East Coast. Due to the unique orbital insertion, this launch carried nine fewer Starlink v1.5 satellites than a typical Group 9 launch, reducing weight by about 2,900 kg (6,400 lb).[130]",,,,,,,,,
235,23 June 202315:35[131],F9 B5B1069.8,"Cape Canaveral, SLC‑40",Starlink: Group 5-12 (56 satellites),"~17,400 kg (38,400 lb)",LEO,SpaceX,Success,Success (JRTI)
Launch of 56 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,,,,,
236,1 July 202315:12[132],F9 B5B1080.2,"Cape Canaveral, SLC‑40",Euclid,"~2,160 kg (4,760 lb)",Sun–Earth L2 injection,ESA,Success,Success (ASOG)
Euclid is a space telescope to better understand dark energy and dark matter by accurately measuring the acceleration of the universe.[133],,,,,,,,,
237,7 July 202319:29[134],F9 B5B1063.12[135],"Vandenberg, SLC‑4E",Starlink: Group 5-13 (48 satellites),"~14,900 kg (32,800 lb)",LEO,SpaceX,Success,Success (OCISLY)
"Launch of 48 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch was to a lower than normal orbital inclination for a West Coast launch, as launches to 43° are normally conducted from the East Coast. Due to the unique orbital insertion, this launch carried fewer Starlink satellites than a typical launch, reducing weight.",,,,,,,,,
238,10 July 202303:58[134],F9 B5B1058.16,"Cape Canaveral, SLC‑40",Starlink: Group 6-5 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (JRTI)
"Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. On this flight, B1058 became the booster to launch and land 16 times.",,,,,,,,,
239,16 July 202303:50[136],F9 B5B1060.16[137],"Cape Canaveral, SLC‑40",Starlink: Group 5-15 (54 satellites),"~16,700 kg (36,800 lb)",LEO,SpaceX,Success,Success (ASOG)
Launch of 54 Starlink v1.5 satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. Final launch of Starlink v1.5 satellites. This launch marked the second time a booster was being launched for the 16th time.,,,,,,,,,
240,20 July 202304:09[138],F9 B5B1071.10,"Vandenberg, SLC‑4E",Starlink: Group 6-15 (15 satellites),"~12,000 kg (26,000 lb)",LEO,SpaceX,Success,Success (OCISLY)
"Launch of 15 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. First Starlink v2 mini launch from West Coast. This launch was to a lower than normal orbital inclination for a West Coast launch, as launches to 43° are normally conducted from the East Coast. Due to the unique orbital insertion, this launch carried fewer Starlink satellites than a typical launch, reducing weight.",,,,,,,,,
241,24 July 202300:50[138],F9 B5B1076.6,"Cape Canaveral, SLC‑40",Starlink: Group 6-6 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (JRTI)
Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,,,,,
242,28 July 202304:01[139],F9 B5B1062.15,"Cape Canaveral, SLC‑40",Starlink: Group 6-7 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (ASOG)
"Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. The launch occurred 4 days, 3 hours and 11 minutes after SpaceX's previous mission from the same pad, setting a new record that was broken again ten days later with flight 244.",,,,,,,,,
FH 7,29 July 202303:04[140],Falcon Heavy B5B1074 (core),"Kennedy, LC‑39A",Jupiter-3 (EchoStar-24)[141],"~9,200 kg (20,300 lb)",GTO,EchoStar,Success,No attempt
B1064.3 (side),Success (LZ‑1),,,,,,,,
B1065.3 (side),Success (LZ‑2),,,,,,,,
Largest and heaviest geostationary communication satellite ever launched.[141] Both side boosters returned to the launch site while the center core was expended.[142] First second stage featuring Falcon medium coast mission-extension kit.[143],,,,,,,,,
243,3 August 202305:00[144],F9 B5B1077.6,"Cape Canaveral, SLC‑40",Galaxy 37,"~5,063 kg (11,162 lb)",GTO,Intelsat,Success,Success (JRTI)
"Intelsat originally contracted both SpaceX and Arianespace to launch its seventh C-band replacement satellite, Galaxy 37.[145] Launch was previously awarded to Arianespace.[146][147] Also known as Galaxy 13R, as it replaced Galaxy 13.[148] The spacecraft also contains a Ku-band payload known as Horizons-4, which is Japan-licensed.",,,,,,,,,
244,7 August 202302:41[149],F9 B5B1078.4,"Cape Canaveral, SLC‑40",Starlink: Group 6-8 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (ASOG)
"Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch marked a turnaround record for SpaceX; the launch occurred 3 days, 21 hours and 41 minutes after SpaceX's previous mission from SLC-40. The previous record was set the month before at the same launch pad.",,,,,,,,,
245,8 August 202303:57[150],F9 B5B1075.5,"Vandenberg, SLC‑4E",Starlink: Group 6-20 (15 satellites),"~12,000 kg (26,000 lb)",LEO,SpaceX,Success,Success (OCISLY)
"Launch of 15 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. This launch was to a lower than normal orbital inclination for a West Coast launch, as launches to 43° are normally conducted from the East Coast. Due to the unique orbital insertion, this launch carried fewer Starlink satellites than a typical launch, reducing weight.",,,,,,,,,
246,11 August 202305:17[151],F9 B5B1069.9,"Cape Canaveral, SLC‑40",Starlink: Group 6-9 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (JRTI)
Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 11th time. 100th launch of a batch of Starlink satellites (excluding launch of test satellites Tintin A&B).,,,,,,,,,
247,17 August 202303:36[152],F9 B5B1067.13,"Cape Canaveral, SLC‑40",Starlink: Group 6-10 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (ASOG)
Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,,,,,
248,22 August 202309:37[153],F9 B5B1061.15,"Vandenberg, SLC‑4E",Starlink: Group 7-1 (21 satellites),"~15,300 kg (33,700 lb)",LEO,SpaceX,Success,Success (OCISLY)
Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,,,,,,,,,
249,26 August 202307:27[154],F9 B5B1081.1[155],"Kennedy, LC‑39A",Crew-7[156] (Crew Dragon C210.3 Endurance),"~13,000 kg (29,000 lb)",LEO (ISS),NASA (CTS),Success,Success (LZ‑1)
"After first six Crew Dragon launches of NASA USCV award, a further three missions for SpaceX were announced on 3 December 2021. These launches carry up to four astronauts and 100 kg (220 lb) of cargo to the ISS as well as feature a lifeboat function to evacuate astronauts from ISS in case of an emergency.[71][157]",,,,,,,,,
250,27 August 202301:05[158],F9 B5B1080.3,"Cape Canaveral, SLC‑40",Starlink: Group 6-11 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (JRTI)
Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,,,,,
251,1 September 202302:21[159],F9 B5B1077.7,"Cape Canaveral, SLC‑40",Starlink: Group 6-13 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (ASOG)
Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,,,,,
252,2 September 2023[160]14:25[161],F9 B5B1063.13,"Vandenberg, SLC‑4E",SDA Tranche 0B (13 satellites),Unknown,LEO,SDA,Success,Success (LZ‑4)
"Second launch of SDA Transport and Tracking Layer satellites. Originally intended to launch the remaining 18 satellites, but a late change reduced this to 13. One was York Space Systems built and 10 are Lockheed Martin-Tyvak Space systems built Transport layer satellites, and two were SpaceX/Leidos built, Starlink-derived Tracking layer satellites.[86] The Transport layer is an interoperable mesh network of satellites intended to provide periodic low-latency and high-capacity data connectivity, while the Tracking Layer consists of interconnected satellites with cross-links and wide field-of-view infrared sensors for hypersonic missile tracking. Fifth flight with short nozzle second stage aimed at lowering costs and improving launch cadence, but is only suitable for missions with lower performance requirements. This was the 61st launch of a Falcon rocket this year, the same number of launches carried out in all of 2022.",,,,,,,,,
253,4 September 202302:47[162],F9 B5B1073.10,"Kennedy, LC‑39A",Starlink: Group 6-12 (22 satellites),"~15,300 kg (33,700 lb)",LEO,SpaceX,Success,Success (JRTI)
"Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. With this launch, SpaceX's Falcon family surpassed the yearly world record for most successful launches, previously set by the R-7 rocket family in 1980.",,,,,,,,,
254,9 September 202303:12[163],F9 B5B1076.7,"Cape Canaveral, SLC‑40",Starlink: Group 6-14 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (ASOG)
Launch of 22 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,,,,,,,,,
255,12 September 202306:57[164],F9 B5B1071.11,"Vandenberg, SLC‑4E",Starlink: Group 7-2 (21 satellites),"~15,300 kg (33,700 lb)",LEO,SpaceX,Success,Success (OCISLY)
Launch of 21 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,,,,,,,,,
256,16 September 202303:38[165],F9 B5B1078.5,"Cape Canaveral, SLC‑40",Starlink: Group 6-16 (22 satellites),"~16,100 kg (35,500 lb)",LEO,SpaceX,Success,Success (JRTI)
